web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685234114-16;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Nachrichten des Tages - die Übersicht für Eilige;02.08.2022;;https://www.sueddeutsche.de/politik/news-ukraine-corona-usa-al-qaida-taiwan-hartz-iv-1.5632040;
1685234114-17;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Was sich Langzeitarbeitslose vom Bürgergeld erhoffen;02.08.2022;;https://www.sueddeutsche.de/politik/hartz-iv-buergergeld-arbeitslosengeld-studie-1.5631388;
1685234114-18;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Wo das Misstrauen regiert;01.08.2022;;https://www.sueddeutsche.de/meinung/bundesregierung-ampel-krise-1.5631742;
1685234117-57;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Skepsis gegen Hafen-Entscheidung;27.10.2022;;https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/hamburger-hafen-cosco-china-politik-ampelkoalition-olaf-scholz-spd-bundestagsfraktion-olching-eichenau-1.5682599;
1685234117-58;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;"Der Staat darf nicht übergriffig werden";25.10.2022;;https://www.sueddeutsche.de/bayern/bayern-martin-huber-csu-generalsekretaer-interview-1.5681322;
1685234117-59;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Nachrichten des Tages - die Übersicht für Eilige;25.10.2022;;https://www.sueddeutsche.de/politik/news-ukraine-steinmeier-charles-iii-premier-hafen-deal-1.5681068;
1685234117-60;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Mehr Geld für alle;24.10.2022;;https://www.sueddeutsche.de/wirtschaft/einkommensteuer-grundfreibetrag-kalte-progression-1.5680958;
1685234117-61;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Das Wochenende kompakt - die Übersicht für Eilige;23.10.2022;;https://www.sueddeutsche.de/politik/news-nachrichten-xi-china-ampel-heizkosten-buergergeld-iran-demo-berlin-ukraine-1.5680358;
1685234117-62;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Das sind die Streitpunkte beim Bürgergeld;23.10.2022;;https://www.sueddeutsche.de/wirtschaft/buergergeld-ampelkoalition-arbeitslose-1.5680090;
1685234117-63;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Nicht mehr mit uns;23.10.2022;;https://www.sueddeutsche.de/meinung/buergergeld-nicht-mehr-mit-uns-1.5680176;
