web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685200361-36;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;"Escort-Service" sucht Prostituierte über Bundesagentur;05.03.2013;;https://www.sueddeutsche.de/bayern/internet-jobboerse-escort-service-sucht-prostituierte-ueber-bundesagentur-1.1616144;
1685200361-37;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Die FDP will wärmer werden;05.03.2013;;https://www.sueddeutsche.de/politik/neue-wahlkampfstrategie-die-fdp-will-waermer-werden-1.1615756;
1685200361-38;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Das Mindeste;04.03.2013;;https://www.sueddeutsche.de/politik/debatte-um-niedrigloehne-das-mindeste-1.1615373;
1685200361-39;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Ex-Banker schulen um;02.03.2013;;https://www.sueddeutsche.de/wirtschaft/von-der-boerse-in-den-weinberg-ex-banker-schulen-um-1.1613713;
1685200361-40;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Hartz IV kostete bislang 356 Milliarden Euro;01.03.2013;;https://www.sueddeutsche.de/politik/arbeitslosenhilfe-hartz-iv-schon-356-milliarden-euro-teuer-1.1612898;
1685200361-41;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Angst und Arbeit;28.02.2013;;https://www.sueddeutsche.de/wirtschaft/bulgaren-und-rumaenen-in-deutschland-angst-und-arbeit-1.1608908;
1685200361-42;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Harmloser Winter auf dem Arbeitsmarkt;28.02.2013;;https://www.sueddeutsche.de/wirtschaft/februar-zahlen-der-bundesagentur-harmloser-winter-auf-dem-arbeitsmarkt-1.1612005;
1685200361-43;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Gelähmte Nation;28.02.2013;;https://www.sueddeutsche.de/wirtschaft/frankreichs-wirtschaft-in-der-krise-gelaehmte-nation-1.1611810;
1685200361-44;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Frei sind sie billiger;28.02.2013;;https://www.sueddeutsche.de/politik/haftentlassungen-wegen-us-schuldenstreit-frei-sind-sie-billiger-1.1611861;
1685200361-46;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Berlusconi steht für hohe Zinsen;26.02.2013;;https://www.sueddeutsche.de/wirtschaft/italien-wahl-und-der-finanzmarkt-berlusconi-steht-fuer-hohe-zinsen-1.1609813;
1685200361-47;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Ernst Breit ist tot;23.02.2013;;https://www.sueddeutsche.de/wirtschaft/frueherer-dgb-chef-ernst-breit-ist-tot-1.1607888;
1685200361-48;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Ausländer sind viel öfter arm als Deutsche;22.02.2013;;https://www.sueddeutsche.de/muenchen/muenchner-integrationsbericht-auslaender-sind-viel-oefter-arm-als-deutsche-1.1606404;
1685200361-49;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Europas Krise kommt zurück;22.02.2013;;https://www.sueddeutsche.de/politik/schuldenhaushalte-europas-krise-kommt-zurueck-1.1606599;
1685200361-50;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Arbeitsagentur belastet Amazon-Leiharbeitsfirma;20.02.2013;;https://www.sueddeutsche.de/wirtschaft/arbeitsbedingungen-bei-online-haendler-arbeitsagentur-belastet-amazon-leiharbeitsfirma-1.1605634;
1685200361-51;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Schwarz-gelber Handel könnte Rentenbeitrag senken;15.02.2013;;https://www.sueddeutsche.de/politik/ausgeglichener-bundeshaushalt-schwarz-gelber-handel-koennte-rentenbeitrag-senken-1.1601885;
1685200361-52;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Kein Wort über den Rückzieher;14.02.2013;;https://www.sueddeutsche.de/muenchen/ebersberg/nach-verzicht-auf-bundestagskandidatur-kein-wort-ueber-den-rueckzieher-1.1600777;
1685200361-53;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Unfreiwillig selbständig;13.02.2013;;https://www.sueddeutsche.de/wirtschaft/diw-studie-zu-alleinunternehmern-unfreiwillig-selbstaendig-1.1598940;
1685200361-54;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Reallöhne niedriger als im Jahr 2000;12.02.2013;;https://www.sueddeutsche.de/wirtschaft/gehaltsentwicklung-in-deutschland-realloehne-niedriger-als-im-jahr-2000-1.1598540;
1685200361-55;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Hollande will Gesetz gegen Werksschließungen;12.02.2013;;https://www.sueddeutsche.de/wirtschaft/drohende-entlassungen-in-frankreich-hollande-will-gesetz-gegen-werksschliessungen-1.1597882;
1685200361-56;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Unternehmen erwarten Aufschwung;12.02.2013;;https://www.sueddeutsche.de/wirtschaft/dihk-umfrage-zum-wirtschaftsklima-2013-unternehmen-erwarten-aufschwung-1.1597783;
1685200361-57;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;"Ominöses Frankenbewusstsein";10.02.2013;;https://www.sueddeutsche.de/bayern/thueringer-landkreise-zieht-es-nach-bayern-ominoeses-frankenbewusstsein-1.1596205;
1685200361-58;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Schröder soll Reform des Ehegattensplittings planen;08.02.2013;;https://www.sueddeutsche.de/politik/familienministerin-in-der-offensive-schroeder-soll-reform-des-ehegattensplittings-planen-1.1595069;
1685200361-59;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Warum Arbeiten im Alter gut für alle ist;08.02.2013;;https://www.sueddeutsche.de/karriere/rente-warum-arbeiten-im-alter-gut-fuer-alle-ist-1.1594579;
