web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685371145-14;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Plötzlich Prinzessin;16.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-15;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;"Das ist das Ende des alten Systems";16.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-16;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Kämpft für die sexuelle Freiheit!;14.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-17;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Alles nur eine Frage der Zeit;12.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-18;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;WER SOLL WÄHLEN ?;11.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-19;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Wird May sich halten können?;11.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-20;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Wieso die Stimme der Jüngeren gestärkt gehört;10.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-21;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Grauen und Ekel;08.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-22;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Mutmacher;07.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-23;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Putin und die Schwulenhasser;07.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-24;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Erst die Moral, dann das Fressen;06.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-25;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Ein Mann aus vielen Teilen;06.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-26;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Erst die Moral, dann das Fressen;05.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-27;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Juan Goytisolo gestorben;04.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-28;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Irland bekommt ersten offen schwulen Premierminister;02.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-85;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;"Ein hartnäckiger Kampf geht zu Ende";01.07.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-86;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Eine Frage des Respekts;01.07.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-87;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Erste Risse im Lager Theresa Mays;01.07.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-88;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Bundestag beschließt Öffnung der Ehe für Homosexuelle;01.07.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-89;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Man nennt das Freiheit;01.07.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-90;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Das Nein der Kanzlerin;01.07.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-91;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Kauder rechnet mit Verfassungsklage;01.07.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-92;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;"Wenn ich laufe, geht es mir gut";01.07.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-93;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Wir verraten alles, was wir sind;30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-94;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Wer wie mit wem?;30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371149-95;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Geschichte als Zufallsprodukt;30.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
