web-scraper-order;web-scraper-start-url;Headline;Date;URL;URL-href;
1685292257-31;https://www.handelsblatt.com/suche/?p3616352=767&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Angst vor Ausbreitung des Coronavirus: China kappt Transportverbindungen nach Wuhan;23.01.2020;;https://www.handelsblatt.com/politik/international/lungenkrankheit-angst-vor-ausbreitung-des-coronavirus-china-kappt-transportverbindungen-nach-wuhan/25459104.html
1685292257-32;https://www.handelsblatt.com/suche/?p3616352=767&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Sechs Dinge, die für Anleger heute wichtig sind;22.01.2020;;https://www.handelsblatt.com/finanzen/maerkte/marktberichte/boerse-am-22-januar-sechs-dinge-die-fuer-anleger-heute-wichtig-sind/25458536.html
1685292257-33;https://www.handelsblatt.com/suche/?p3616352=767&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Saudis spionierten wohl Jeff Bezos aus;22.01.2020;;https://www.handelsblatt.com/meinung/morningbriefing/morning-briefing-saudis-spionierten-wohl-jeff-bezos-aus/25458854.html
1685292257-34;https://www.handelsblatt.com/suche/?p3616352=767&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Virusausbruch bremst Hoch der asiatischen Börsen;22.01.2020;;https://www.handelsblatt.com/finanzen/maerkte/marktberichte/nikkei-topix-und-co-virusausbruch-bremst-hoch-der-asiatischen-boersen/25459020.html
1685292257-35;https://www.handelsblatt.com/suche/?p3616352=767&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Was das Coronavirus für die Aktienmärkte bedeutet;22.01.2020;;https://www.handelsblatt.com/finanzen/anlagestrategie/trends/anlage-was-das-coronavirus-fuer-die-aktienmaerkte-bedeutet/25458866.html
1685292257-36;https://www.handelsblatt.com/suche/?p3616352=767&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Erster US-Fall des Coronavirus drückt die Wall Street ins Minus;21.01.2020;;https://www.handelsblatt.com/finanzen/maerkte/marktberichte/dow-jones-nasdaq-sundp-500-erster-us-fall-des-coronavirus-drueckt-die-wall-street-ins-minus/25456538.html
1685292274-56;https://www.handelsblatt.com/suche/?p3616352=766&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Coronavirus lässt asiatische Börsen erneut fallen;27.01.2020;;https://www.handelsblatt.com/finanzen/maerkte/marktberichte/nikkei-topix-und-co-coronavirus-laesst-asiatische-boersen-erneut-fallen/25475708.html
1685292274-57;https://www.handelsblatt.com/suche/?p3616352=766&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Anleger in Asien wegen Coronavirus zögerlich;24.01.2020;;https://www.handelsblatt.com/finanzen/maerkte/marktberichte/nikkei-topix-und-co-anleger-in-asien-wegen-coronavirus-zoegerlich/25468276.html
1685292274-58;https://www.handelsblatt.com/suche/?p3616352=766&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;US-Anleger zurückhaltend wegen Coronavirus – US-Ökonom Shilling warnt vor Panikmache;23.01.2020;;https://www.handelsblatt.com/finanzen/maerkte/marktberichte/dow-jones-nasdaq-sundp-500-us-anleger-zurueckhaltend-wegen-coronavirus-us-oekonom-shilling-warnt-vor-panikmache/25464592.html
1685292274-59;https://www.handelsblatt.com/suche/?p3616352=766&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Dax schließt fast ein Prozent im Minus – Coronavirus belastet Börsen;23.01.2020;;https://www.handelsblatt.com/finanzen/maerkte/marktberichte/dax-aktuell-dax-schliesst-fast-ein-prozent-im-minus-coronavirus-belastet-boersen/25464164.html
